sex_active,race,age,mean11,mean12,mean13,mean14,mean15,mean16,mean17
Male,White,13,0,6,,,,,
Male,White,14,4.91,4,1.23,,,,
Male,White,15,4.76,3.6,3.95,1.81,,,
Male,White,16,3.44,3.96,2.92,2.26,2.23,,
Male,White,17,3.89,4.13,4.07,4.06,2.88,1.69,
Male,White,18,5.43,3.36,3.47,3.53,3.22,2.3,1.76
Male,Black,13,0,0,,,,,
Male,Black,14,3.49,3.73,2.48,,,,
Male,Black,15,3.46,4.41,2.83,2.42,,,
Male,Black,16,4.53,4.54,3.8,2.61,1.99,,
Male,Black,17,4.28,4.21,4.42,4.57,3.01,2.83,
Male,Black,18,5.36,5.19,5.35,4.62,4.07,4.53,2.12
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,4.17,1.79,1.47,,,,
Male,Hispanic,15,5.58,2.67,2.92,1.68,,,
Male,Hispanic,16,4.34,3.53,3.08,3.13,2.1,,
Male,Hispanic,17,3.98,3.34,3.99,3.97,2.87,2.09,
Male,Hispanic,18,5.4,4.8,4.8,3.26,3.58,1.79,1.67
Female,White,13,0,0,,,,,
Female,White,14,1.95,1.58,1.86,,,,
Female,White,15,2.77,4.43,2.04,1.91,,,
Female,White,16,3.01,2.54,4.03,3.33,1.97,,
Female,White,17,3.86,4.29,3.5,4.25,3.27,1.73,
Female,White,18,3.61,5.29,5.06,3.63,3.74,2.25,1.6
Female,Black,13,0,0,,,,,
Female,Black,14,6,2.25,1.32,,,,
Female,Black,15,5,2.29,2,1.64,,,
Female,Black,16,2.29,3,4.38,2.32,1.78,,
Female,Black,17,3.03,4.14,3.55,3.6,2.72,2.33,
Female,Black,18,4.59,4,3.11,4.2,3.21,2.15,1.37
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,3.2,2.28,2.87,,,,
Female,Hispanic,15,3.07,4.62,3.6,1.7,,,
Female,Hispanic,16,5.12,3,1.81,2.6,1.85,,
Female,Hispanic,17,3,1,3.89,2.68,2.23,1.67,
Female,Hispanic,18,2.92,0,2.56,4.24,3.04,2.56,2.1
