sex_active,race,age,mean11,mean12,mean13,mean14,mean15,mean16,mean17
Male,White,13,0,0,,,,,
Male,White,14,4.16,3.33,2.64,,,,
Male,White,15,4.27,3.89,2.62,1.96,,,
Male,White,16,5.22,4.45,3.66,3.15,2.07,,
Male,White,17,4.79,4.88,4.48,4.39,2.83,1.83,
Male,White,18,4.63,4.28,5.18,3.83,3.48,2.31,1.61
Male,Black,13,0,0,,,,,
Male,Black,14,4.58,4.25,2.18,,,,
Male,Black,15,5.23,3.97,4.08,2.48,,,
Male,Black,16,4.55,3.86,4.17,3.77,2.7,,
Male,Black,17,4.9,5.34,5.09,4.5,4,2.38,
Male,Black,18,5.24,5.52,4.81,4.63,4.73,3.22,2.49
Male,Hispanic,13,0,4,,,,,
Male,Hispanic,14,3.47,3.33,2.65,,,,
Male,Hispanic,15,4.08,4.65,3.34,2.04,,,
Male,Hispanic,16,4.97,5.14,4.14,2.87,1.93,,
Male,Hispanic,17,4.5,4.03,4.59,3.72,3.13,1.88,
Male,Hispanic,18,5.2,5.09,4.61,3.64,2.97,2.54,1.82
Female,White,13,6,0,,,,,
Female,White,14,1.45,3.68,2.98,,,,
Female,White,15,4.09,4.28,3.01,2.22,,,
Female,White,16,3.98,4.39,3.49,2.95,2.2,,
Female,White,17,3.82,3.43,4.24,4.36,2.67,1.99,
Female,White,18,3,3.15,5.36,3.73,3.24,2.49,1.54
Female,Black,13,0,0,,,,,
Female,Black,14,6,1,2.51,,,,
Female,Black,15,4.73,4.44,2.81,2.34,,,
Female,Black,16,4.82,3.13,4.26,3.28,2.34,,
Female,Black,17,3.29,3.98,4.28,4.08,3.26,2.25,
Female,Black,18,6,5.24,4.68,4.29,3.95,2.93,2.25
Female,Hispanic,13,6,0,,,,,
Female,Hispanic,14,4.76,2.16,2.2,,,,
Female,Hispanic,15,4.27,4.03,3.67,1.73,,,
Female,Hispanic,16,2.82,4.14,4.09,2.7,1.9,,
Female,Hispanic,17,2.83,5.47,3.55,3.15,2.91,1.84,
Female,Hispanic,18,6,4.6,3.98,3.82,3.31,2.71,2
