sex_active,race,age,age11,age12,age13,age14,age15,age16,age17
Male,White,13,0,0,,,,,
Male,White,14,9.16,19.95,32.07,,,,
Male,White,15,23.26,31.45,64.46,97.02,,,
Male,White,16,31.98,24.66,47.96,79.12,151.26,,
Male,White,17,24.71,17.7,40.19,83.87,131.81,179.88,
Male,White,18,22.17,14.51,29.81,55.77,79.85,119.75,102.15
Male,Black,13,0,0.29,,,,,
Male,Black,14,23.23,9.31,15.78,,,,
Male,Black,15,33.83,24.41,23.48,33.2,,,
Male,Black,16,28.88,18.3,39.33,48.31,25.35,,
Male,Black,17,14,18.4,24.77,31.24,24.48,15.12,
Male,Black,18,9.52,17.07,14.8,20.66,15.9,26.05,11.04
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,14.89,9.11,18.36,,,,
Male,Hispanic,15,17.53,26.76,25.69,56.25,,,
Male,Hispanic,16,22.64,15.1,27.29,37.96,67.97,,
Male,Hispanic,17,14.42,12.12,23.55,27.3,43.65,51.46,
Male,Hispanic,18,10.34,6.95,11.05,15.41,28.62,24.16,24.57
Female,White,13,0,0,,,,,
Female,White,14,5.24,3.97,25.56,,,,
Female,White,15,16.32,14.08,61.45,89.18,,,
Female,White,16,18.9,20.44,38.84,106.28,189.58,,
Female,White,17,5.83,7.74,35.3,95.9,168.4,173.24,
Female,White,18,9.78,0,16.17,50.72,84.94,91.47,88.89
Female,Black,13,0,0,,,,,
Female,Black,14,3.4,5.56,8.3,,,,
Female,Black,15,10.5,6.1,22.01,34.93,,,
Female,Black,16,7.9,14.45,15.85,30.44,36.43,,
Female,Black,17,5.26,8.55,12.58,29.1,45.57,45.63,
Female,Black,18,3.12,3.91,5.5,10.64,19.07,20.79,22.57
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,3.02,4.95,10.43,,,,
Female,Hispanic,15,3.31,3.32,24.02,53.34,,,
Female,Hispanic,16,7.93,4.97,21.46,37.17,69.74,,
Female,Hispanic,17,4.03,2.5,12.4,30.48,46.47,55.93,
Female,Hispanic,18,2.32,0.67,6.89,12.49,22.7,22.13,26.43
