sex_active,race,age,age11,age12,age13,age14,age15,age16,age17
Male,White,13,0,0,,,,,
Male,White,14,11.27,20.15,12,,,,
Male,White,15,23.02,16.97,63.5,101.45,,,
Male,White,16,32.65,35.79,55.93,81.63,161.21,,
Male,White,17,31.01,24.68,47.4,98.55,123.9,154.66,
Male,White,18,13.21,10.36,22.99,36.59,62.62,92.85,129.37
Male,Black,13,0,0,,,,,
Male,Black,14,10.97,15.34,9.42,,,,
Male,Black,15,33.54,44.95,36.05,43.98,,,
Male,Black,16,24.04,26.53,35.12,39.65,35.4,,
Male,Black,17,30.69,21.18,23.76,34.94,32.19,12.47,
Male,Black,18,17.55,16.6,13.86,15.93,26.92,9.3,11.66
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,11,8.8,17.24,,,, 
Male,Hispanic,15,22.68,22.67,29.46,47.39,,,
Male,Hispanic,16,8.38,16.88,29.78,37.19,52.55,,
Male,Hispanic,17,6.65,7.76,22.47,27.75,24.42,33.47,
Male,Hispanic,18,7.73,8.06,9.45,20.31,13.26,15.28,18.04
Female,White,13,0,0,,,,,
Female,White,14,5.49,4.03,14.9,,,,
Female,White,15,30.84,14.59,50.91,99.39,,,
Female,White,16,9.59,17.07,45.92,115.83,174.97,,
Female,White,17,8.27,18.94,29.92,108.16,148.92,159.15,
Female,White,18,4.7,3.36,15.11,29.2,80.32,91.3,111.9
Female,Black,13,0,0,,,,,
Female,Black,14,4.58,6.28,13.44,,,,
Female,Black,15,15.75,9.52,35.34,52.85,,,
Female,Black,16,5.71,9.33,29.46,44.52,47.41,,
Female,Black,17,2.17,5.18,18.27,34.25,49.19,37.22,
Female,Black,18,2.29,6.14,9.53,8.93,24.55,24.08,19.19
Female,Hispanic,13,0.45,0,,,,,
Female,Hispanic,14,2.59,2.89,6.4,,,,
Female,Hispanic,15,8.07,4.79,21.45,39.14,,,
Female,Hispanic,16,4.26,5.84,21.23,29.21,45.83,,
Female,Hispanic,17,5.38,2.23,5.46,20.74,42.1,41.04,
Female,Hispanic,18,6.18,3.37,6.76,12.17,18.18,18.65,26.75
